arrival rate,mean delay,seed,,,,,1,20,1
1196,1.29,1255,0,1000000,0,,,,
1196,1.29,1627,0,1000000,0,,,,
1196,1.29,136127,0,1000000,0,,,,
1196,1.29,3845648,0,1000000,0,,,,
1196,1.29,8834,0,1000000,0,,,,
1196,1.29,348734,0,1000000,0,,,,
1196,1.29,98,0,1000000,0,,,,
1245,1.33,400137271,0,1000000,0,,,,
1245,1.33,4728394,0,1000000,0,,,,
1245,1.33,12950156,0,1000000,0,,,,
1245,1.33,1255,0,1000000,0,,,,
1245,1.33,1627,0,1000000,0,,,,
1245,1.33,136127,0,1000000,0,,,,
1245,1.33,3845648,0,1000000,0,,,,
1245,1.33,8834,0,1000000,0,,,,
1245,1.33,348734,0,1000000,0,,,,
1245,1.33,98,0,1000000,0,,,,
1294,1.37,400137271,0,1000000,0,,,,
1294,1.38,4728394,0,1000000,0,,,,
1294,1.37,12950156,0,1000000,0,,,,
1294,1.38,1255,0,1000000,0,,,,
1294,1.37,1627,0,1000000,0,,,,
1294,1.37,136127,0,1000000,0,,,,
1294,1.37,3845648,0,1000000,0,,,,
1294,1.37,8834,0,1000000,0,,,,
1294,1.37,348734,0,1000000,0,,,,
1294,1.37,98,0,1000000,0,,,,
1343,1.42,400137271,0,1000000,0,,,,
1343,1.43,4728394,0,1000000,0,,,,
1343,1.42,12950156,0,1000000,0,,,,
1343,1.43,1255,0,1000000,0,,,,
1343,1.42,1627,0,1000000,0,,,,
1343,1.42,136127,0,1000000,0,,,,
1343,1.42,3845648,0,1000000,0,,,,
1343,1.42,8834,0,1000000,0,,,,
1343,1.42,348734,0,1000000,0,,,,
1343,1.42,98,0,1000000,0,,,,
1392,1.48,400137271,0,1000000,0,,,,
1392,1.49,4728394,0,1000000,0,,,,
1392,1.48,12950156,0,1000000,0,,,,
1392,1.49,1255,0,1000000,0,,,,
1392,1.48,1627,0,1000000,0,,,,
1392,1.48,136127,0,1000000,0,,,,
1392,1.48,3845648,0,1000000,0,,,,
1392,1.48,8834,0,1000000,0,,,,
1392,1.48,348734,0,1000000,0,,,,
1392,1.48,98,0,1000000,0,,,,
1441,1.55,400137271,0,1000000,0,,,,
1441,1.56,4728394,0,1000000,0,,,,
1441,1.55,12950156,0,1000000,0,,,,
1441,1.56,1255,0,1000000,0,,,,
1441,1.55,1627,0,1000000,0,,,,
1441,1.55,136127,0,1000000,0,,,,
1441,1.55,3845648,0,1000000,0,,,,
1441,1.55,8834,0,1000000,0,,,,
1441,1.55,348734,0,1000000,0,,,,
1441,1.55,98,0,1000000,0,,,,
1490,1.64,400137271,0,1000000,0,,,,
1490,1.64,4728394,0,1000000,0,,,,
1490,1.63,12950156,0,1000000,0,,,,
1490,1.64,1255,0,1000000,0,,,,
1490,1.64,1627,0,1000000,0,,,,
1490,1.63,136127,0,1000000,0,,,,
1490,1.64,3845648,0,1000000,0,,,,
1490,1.63,8834,0,1000000,0,,,,
1490,1.63,348734,0,1000000,0,,,,
1490,1.63,98,0,1000000,0,,,,
1539,1.74,400137271,0,1000000,0,,,,
1539,1.75,4728394,0,1000000,0,,,,
1539,1.73,12950156,0,1000000,0,,,,
1539,1.75,1255,0,1000000,0,,,,
1539,1.74,1627,0,1000000,0,,,,
1539,1.73,136127,0,1000000,0,,,,
1539,1.74,3845648,0,1000000,0,,,,
1539,1.73,8834,0,1000000,0,,,,
1539,1.73,348734,0,1000000,0,,,,
1539,1.73,98,0,1000000,0,,,,
1588,1.86,400137271,0,1000000,0,,,,
1588,1.87,4728394,0,1000000,0,,,,
1588,1.86,12950156,0,1000000,0,,,,
1588,1.88,1255,0,1000000,0,,,,
1588,1.87,1627,0,1000000,0,,,,
1588,1.86,136127,0,1000000,0,,,,
1588,1.87,3845648,0,1000000,0,,,,
1588,1.85,8834,0,1000000,0,,,,
1588,1.86,348734,0,1000000,0,,,,
1588,1.85,98,0,1000000,0,,,,
1637,2.02,400137271,0,1000000,0,,,,
1637,2.03,4728394,0,1000000,0,,,,
1637,2.02,12950156,0,1000000,0,,,,
1637,2.05,1255,0,1000000,0,,,,
1637,2.04,1627,0,1000000,0,,,,
1637,2.01,136127,0,1000000,0,,,,
1637,2.03,3845648,0,1000000,0,,,,
1637,2.01,8834,0,1000000,0,,,,
1637,2.02,348734,0,1000000,0,,,,
1637,2.01,98,0,1000000,0,,,,
1686,2.23,400137271,15,1000000,0.000015,,,,
1686,2.24,4728394,0,1000000,0,,,,
1686,2.23,12950156,0,1000000,0,,,,
1686,2.26,1255,0,1000000,0,,,,
1686,2.25,1627,0,1000000,0,,,,
1686,2.22,136127,0,1000000,0,,,,
1686,2.24,3845648,0,1000000,0,,,,
1686,2.21,8834,0,1000000,0,,,,
1686,2.23,348734,0,1000000,0,,,,
1686,2.21,98,0,1000000,0,,,,
1735,2.52,400137271,103,1000000,0.000103,,,,
1735,2.53,4728394,2,1000000,0.000002,,,,
1735,2.52,12950156,0,1000000,0,,,,
1735,2.56,1255,18,1000000,0.000018,,,,
1735,2.55,1627,9,1000000,0.000009,,,,
1735,2.5,136127,7,1000000,0.000007,,,,
1735,2.53,3845648,0,1000000,0,,,,
1735,2.49,8834,0,1000000,0,,,,
1735,2.52,348734,1,1000000,0.000001,,,,
1735,2.49,98,0,1000000,0,,,,
1784,2.94,400137271,299,1000000,0.000299,,,,
1784,2.95,4728394,62,1000000,0.000062,,,,
1784,2.93,12950156,224,1000000,0.000224,,,,
1784,2.99,1255,212,1000000,0.000212,,,,
1784,2.99,1627,119,1000000,0.000119,,,,
1784,2.91,136127,84,1000000,0.000084,,,,
1784,2.95,3845648,79,1000000,0.000079,,,,
1784,2.89,8834,9,1000000,0.000009,,,,
1784,2.95,348734,55,1000000,0.000055,,,,
1784,2.9,98,4,1000000,0.000004,,,,
1833,3.6,400137271,1490,1000000,0.00149,,,,
1833,3.66,4728394,1003,1000000,0.001003,,,,
1833,3.59,12950156,1754,1000000,0.001754,,,,
1833,3.68,1255,940,1000000,0.00094,,,,
1833,3.68,1627,1489,1000000,0.001489,,,,
1833,3.55,136127,820,1000000,0.00082,,,,
1833,3.62,3845648,1072,1000000,0.001072,,,,
1833,3.52,8834,543,1000000,0.000543,,,,
1833,3.66,348734,1801,1000000,0.001801,,,,
1833,3.52,98,417,1000000,0.000417,,,,
1882,4.81,400137271,9062,1000000,0.009062,,,,
1882,5.01,4728394,12950,1000000,0.01295,,,,
1882,4.77,12950156,9412,1000000,0.009412,,,,
1882,4.97,1255,8604,1000000,0.008604,,,,
1882,4.95,1627,11017,1000000,0.011017,,,,
1882,4.67,136127,5973,1000000,0.005973,,,,
1882,4.9,3845648,9702,1000000,0.009702,,,,
1882,4.66,8834,6249,1000000,0.006249,,,,
1882,4.95,348734,12007,1000000,0.012007,,,,
1882,4.61,98,4720,1000000,0.00472,,,,
1931,7.87,400137271,67642,1000000,0.067642,,,,
1931,8.63,4728394,91621,1000000,0.091621,,,,
1931,7.56,12950156,55988,1000000,0.055988,,,,
1931,8.22,1255,75133,1000000,0.075133,,,,
1931,8.14,1627,71842,1000000,0.071842,,,,
1931,7.29,136127,49646,1000000,0.049646,,,,
1931,8.08,3845648,76068,1000000,0.076068,,,,
