random seed,call arrival count,blocked call count,Blocking probability,Service fraction,Offered Load,trunks,theoretical_erlang_B,,,,,,,trunks,Blocking probability,Offered Load
400137271,2163,154,0.0711974110,0.92880,8.0000000000,11,0.0812883205,,,,,,,11,0.0711974110,8.0000000000
400137271,2101,94,0.0447405997,0.95526,8.0000000000,12,0.0514063877,,,,,,,12,0.0447405997,8.0000000000
400137271,2098,91,0.0433746425,0.95663,8.0000000000,13,0.0306646336,,,,,,,13,0.0433746425,8.0000000000
400137271,2057,51,0.0247933884,0.97521,8.0000000000,14,0.0172208922,,,,,,,14,0.0247933884,8.0000000000
400137271,2030,24,0.0118226601,0.98818,8.0000000000,15,0.0091008889,,,,,,,15,0.0118226601,8.0000000000
400137271,2011,0,0.0000000000,1.00000,8.0000000000,16,0.0045298317,,,,,,,16,0.0000000000,8.0000000000
400137271,2011,0,0.0000000000,1.00000,8.0000000000,17,0.0021271511,,,,,,,17,0.0000000000,8.0000000000
400137271,2011,0,0.0000000000,1.00000,8.0000000000,18,0.0009445075,,,,,,,18,0.0000000000,8.0000000000
400137271,2011,0,0.0000000000,1.00000,8.0000000000,19,0.0003975293,,,,,,,19,0.0000000000,8.0000000000
400137271,2011,0,0.0000000000,1.00000,8.0000000000,20,0.0001589864,,,,,,,20,0.0000000000,8.0000000000
400137271,19540,17540,0.8976458547,0.10235,9.0000000000,1,0.9000000000,,,,,,,1,0.8976458547,9.0000000000
400137271,10064,8063,0.8011724960,0.19883,9.0000000000,2,0.8019801980,,,,,,,2,0.8011724960,9.0000000000
400137271,7042,5040,0.7157057654,0.28429,9.0000000000,3,0.7063953488,,,,,,,3,0.7157057654,9.0000000000
400137271,5312,3309,0.6229292169,0.37707,9.0000000000,4,0.6138085883,,,,,,,4,0.6229292169,9.0000000000
400137271,4252,2248,0.5286923801,0.47131,9.0000000000,5,0.5249079951,,,,,,,5,0.5286923801,9.0000000000
400137271,3594,1589,0.4421257652,0.55787,9.0000000000,6,0.4405162445,,,,,,,6,0.4421257652,9.0000000000
400137271,3252,1246,0.3831488315,0.61685,9.0000000000,7,0.3615845079,,,,,,,7,0.3831488315,9.0000000000
400137271,2908,904,0.3108665750,0.68913,9.0000000000,8,0.2891580971,,,,,,,8,0.3108665750,9.0000000000
400137271,2653,650,0.2450056540,0.75499,9.0000000000,9,0.2242999503,,,,,,,9,0.2450056540,9.0000000000
400137271,2451,443,0.1807425541,0.81926,9.0000000000,10,0.1679632263,,,,,,,10,0.1807425541,9.0000000000
400137271,2282,272,0.1191936897,0.88081,9.0000000000,11,0.1208207340,,,,,,,11,0.1191936897,9.0000000000
400137271,2151,143,0.0664807066,0.93352,9.0000000000,12,0.0830866115,,,,,,,12,0.0664807066,9.0000000000
400137271,2146,138,0.0643056850,0.93569,9.0000000000,13,0.0543927478,,,,,,,13,0.0643056850,9.0000000000
400137271,2087,75,0.0359367513,0.96406,9.0000000000,14,0.0337854002,,,,,,,14,0.0359367513,9.0000000000
400137271,2063,55,0.0266602036,0.97334,9.0000000000,15,0.0198684814,,,,,,,15,0.0266602036,9.0000000000
400137271,2028,17,0.0083826430,0.99162,9.0000000000,16,0.0110524978,,,,,,,16,0.0083826430,9.0000000000
400137271,2015,0,0.0000000000,1.00000,9.0000000000,17,0.0058172836,,,,,,,17,0.0000000000,9.0000000000
400137271,2015,0,0.0000000000,1.00000,9.0000000000,18,0.0029002061,,,,,,,18,0.0000000000,9.0000000000
400137271,2015,0,0.0000000000,1.00000,9.0000000000,19,0.0013718972,,,,,,,19,0.0000000000,9.0000000000
400137271,2015,0,0.0000000000,1.00000,9.0000000000,20,0.0006169728,,,,,,,20,0.0000000000,9.0000000000
400137271,21625,19625,0.9075144509,0.09249,10.0000000000,1,0.9090909091,,,,,,,1,0.9075144509,10.0000000000
