Seed,arrival rate,"(3,5,0.50,0.50)","(3,5,0.50,2.00)","(3,5,0.50,3.50)","(3,5,1.00,0.50)","(3,5,1.00,2.00)","(3,5,1.00,3.50)","(3,5,1.50,0.50)","(3,5,1.50,2.00)","(3,5,1.50,3.50)","(3,10,0.50,0.50)","(3,10,0.50,2.00)","(3,10,0.50,3.50)","(3,10,1.00,0.50)","(3,10,1.00,2.00)","(3,10,1.00,3.50)","(3,10,1.50,0.50)","(3,10,1.50,2.00)","(3,10,1.50,3.50)"
400137271,1.2733030303,1.8623402365,1.8435093604,2.1757855003,2.0186616485,2.1416923195,1.9122443341,2.0196759922,2.1464072142,2.1247038906,2.0377195342,2.2569721773,2.2714048523,2.2056655646,2.0421865925,2.2230947690,2.1135478362,2.2053260460,2.2951289535
400137271,1.3035959596,1.9283933167,2.0346011717,2.1474427074,2.0240903884,2.1158827848,2.2016887915,2.0575232902,2.1001562582,1.9856661492,2.1404738605,2.2370675823,2.2855734915,2.2043691385,2.2198893004,2.2747445674,2.2126758496,2.0495339949,2.2266898262
400137271,1.3338888889,1.9163201913,1.9979865174,2.0734097387,1.9050812747,1.9925385883,1.9383921489,2.0478270376,2.1505045971,2.1081988254,2.1557199041,2.2681322427,2.2540519848,2.2426482884,2.1972250528,2.2240149604,2.2817353802,2.2237900860,2.3740317133
400137271,1.3641818182,2.0186616485,2.1416923195,1.9122443341,2.0196759922,2.1464072142,2.1247038906,1.8435093604,2.1757855003,2.1588150021,2.2056655646,2.0421865925,2.2230947690,2.1135478362,2.2053260460,2.2951289535,2.2569721773,2.2714048523,2.2316630010
400137271,1.3944747475,2.0240903884,2.1158827848,2.2016887915,2.0575232902,2.1001562582,1.9856661492,2.0346011717,2.1474427074,2.1242855753,2.2043691385,2.2198893004,2.2747445674,2.2126758496,2.0495339949,2.2266898262,2.2370675823,2.2855734915,2.2017877771
400137271,1.4247676768,1.9050812747,1.9925385883,1.9383921489,2.0478270376,2.1505045971,2.1081988254,1.9979865174,2.0734097387,2.0352113781,2.2426482884,2.1972250528,2.2240149604,2.2817353802,2.2237900860,2.3740317133,2.2681322427,2.2540519848,2.3253499878
400137271,1.4550606061,2.0196759922,2.1464072142,2.1247038906,1.8435093604,2.1757855003,2.1588150021,2.1416923195,1.9122443341,1.9877968041,2.1135478362,2.2053260460,2.2951289535,2.2569721773,2.2714048523,2.2316630010,2.0421865925,2.2230947690,2.2269876764
400137271,1.4853535354,2.0575232902,2.1001562582,1.9856661492,2.0346011717,2.1474427074,2.1242855753,2.1158827848,2.2016887915,2.2820497636,2.2126758496,2.0495339949,2.2266898262,2.2370675823,2.2855734915,2.2017877771,2.2198893004,2.2747445674,2.3093719685
400137271,1.5156464646,2.0478270376,2.1505045971,2.1081988254,1.9979865174,2.0734097387,2.0352113781,1.9925385883,1.9383921489,2.1626016208,2.2817353802,2.2237900860,2.3740317133,2.2681322427,2.2540519848,2.3253499878,2.1972250528,2.2240149604,2.3755317414
400137271,1.5459393939,1.8435093604,2.1757855003,2.1588150021,2.1416923195,1.9122443341,1.9877968041,2.1464072142,2.1247038906,2.3031475376,2.2569721773,2.2714048523,2.2316630010,2.0421865925,2.2230947690,2.2269876764,2.2053260460,2.2951289535,2.2881867096
400137271,1.5762323232,2.0346011717,2.1474427074,2.1242855753,2.1158827848,2.2016887915,2.2820497636,2.1001562582,1.9856661492,2.2188260855,2.2370675823,2.2855734915,2.2017877771,2.2198893004,2.2747445674,2.3093719685,2.0495339949,2.2266898262,2.2724181436
400137271,1.6065252525,1.9979865174,2.0734097387,2.0352113781,1.9925385883,1.9383921489,2.1626016208,2.1505045971,2.1081988254,2.3981332330,2.2681322427,2.2540519848,2.3253499878,2.1972250528,2.2240149604,2.3755317414,2.2237900860,2.3740317133,2.2205199574
400137271,1.6368181818,2.1416923195,1.9122443341,1.9877968041,2.1464072142,2.1247038906,2.3031475376,2.1757855003,2.1588150021,2.2697934253,2.0421865925,2.2230947690,2.2269876764,2.2053260460,2.2951289535,2.2881867096,2.2714048523,2.2316630010,2.4427640163
