Seed,arrival rate,"(BEB,5,0.50,0.50)","(BEB,5,0.50,1.00)","(BEB,5,0.50,1.50)","(BEB,5,2.00,0.50)","(BEB,5,2.00,1.00)","(BEB,5,2.00,1.50)","(BEB,5,3.50,0.50)","(BEB,5,3.50,1.00)","(BEB,5,3.50,1.50)","(BEB,10,0.50,0.50)","(BEB,10,0.50,1.00)","(BEB,10,0.50,1.50)","(BEB,10,2.00,0.50)","(BEB,10,2.00,1.00)","(BEB,10,2.00,1.50)","(BEB,10,3.50,0.50)","(BEB,10,3.50,1.00)","(BEB,10,3.50,1.50)"
400137271,1.8185757576,0.8986928055,0.9160238691,0.9676340191,0.7872350661,0.8011091201,0.9932549965,0.9349074570,0.9760767095,0.9061755880,0.8682088379,0.9017107131,0.9842875647,0.8349458179,0.9349804639,0.9714134880,0.8869495877,0.9221771125,0.9966095179
400137271,1.8488686869,0.8609191011,0.9076439022,0.9751019439,0.9404556407,0.9793403132,0.9642380177,0.8616949590,0.9444816088,0.9810509551,0.8982969424,0.9281964480,0.9143544671,0.8746428250,0.9342857458,0.9973079475,0.8549875537,0.9210101790,0.9702159108
400137271,1.8791616162,0.8600477717,0.8702961842,0.9895848407,0.8071245503,0.9504924361,0.9218523411,0.8628696606,0.9908370479,0.9977297715,0.8297558525,0.9223657098,0.9866016268,0.8519721047,0.9820655188,0.9837712600,0.9249982116,0.9526931999,0.9154401151
400137271,1.9094545455,0.7872350661,0.8011091201,0.9932549965,0.9349074570,0.9760767095,0.9061755880,0.9160238691,0.9676340191,0.9939039922,0.8349458179,0.9349804639,0.9714134880,0.8869495877,0.9221771125,0.9966095179,0.9017107131,0.9842875647,0.9967420319
400137271,1.9397474747,0.9404556407,0.9793403132,0.9642380177,0.8616949590,0.9444816088,0.9810509551,0.9076439022,0.9751019439,0.9761652569,0.8746428250,0.9342857458,0.9973079475,0.8549875537,0.9210101790,0.9702159108,0.9281964480,0.9143544671,0.9894924748
400137271,1.9700404040,0.8071245503,0.9504924361,0.9218523411,0.8628696606,0.9908370479,0.9977297715,0.8702961842,0.9895848407,0.9809445071,0.8519721047,0.9820655188,0.9837712600,0.9249982116,0.9526931999,0.9154401151,0.9223657098,0.9866016268,0.9981316980
400137271,2.0003333333,0.9349074570,0.9760767095,0.9061755880,0.9160238691,0.9676340191,0.9939039922,0.8011091201,0.9932549965,0.9284249328,0.8869495877,0.9221771125,0.9966095179,0.9017107131,0.9842875647,0.9967420319,0.9349804639,0.9714134880,0.9877035851
400137271,2.0306262626,0.8616949590,0.9444816088,0.9810509551,0.9076439022,0.9751019439,0.9761652569,0.9793403132,0.9642380177,0.9915218051,0.8549875537,0.9210101790,0.9702159108,0.9281964480,0.9143544671,0.9894924748,0.9342857458,0.9973079475,0.9996906057
400137271,2.0609191919,0.8628696606,0.9908370479,0.9977297715,0.8702961842,0.9895848407,0.9809445071,0.9504924361,0.9218523411,0.9996865088,0.9249982116,0.9526931999,0.9154401151,0.9223657098,0.9866016268,0.9981316980,0.9820655188,0.9837712600,0.9997020725
400137271,2.0912121212,0.9160238691,0.9676340191,0.9939039922,0.8011091201,0.9932549965,0.9284249328,0.9760767095,0.9061755880,0.9990369180,0.9017107131,0.9842875647,0.9967420319,0.9349804639,0.9714134880,0.9877035851,0.9221771125,0.9966095179,0.9983869525
