Seed,arrival rate,"(BEB,5,1.00,0.50)","(BEB,5,1.00,0.75)","(BEB,5,1.00,1.00)","(BEB,5,1.00,1.25)","(BEB,5,1.00,1.50)","(BEB,5,1.00,2.00)","(BEB,5,1.00,3.00)","(BEB,10,1.00,0.50)","(BEB,10,1.00,0.75)","(BEB,10,1.00,1.00)","(BEB,10,1.00,1.25)","(BEB,10,1.00,1.50)","(BEB,10,1.00,2.00)","(BEB,10,1.00,3.00)",,,Seed,arrival rate,"(BEB,5,1.00,0.50)","(BEB,5,1.00,0.75)","(BEB,5,1.00,1.00)","(BEB,5,1.00,1.25)","(BEB,5,1.00,1.50)","(BEB,5,1.00,2.00)","(BEB,5,1.00,3.00)","(BEB,10,1.00,0.50)","(BEB,10,1.00,0.75)","(BEB,10,1.00,1.00)","(BEB,10,1.00,1.25)","(BEB,10,1.00,1.50)","(BEB,10,1.00,2.00)","(BEB,10,1.00,3.00)"
400137271,1.429163265,0.398976068,0.620431344,0.727963039,0.816302525,1.01514847,1.206346695,1.550026211,0.404398278,0.623189958,0.690700826,0.896356509,1.01619162,1.177607196,1.689510302,,,400137271,1.429163265,0.398714364,0.619990763,0.72633129,0.810708998,0.95234905,0.999466437,0.999997272,0.403728816,0.622245859,0.659421926,0.814772672,0.918565399,0.998894313,0.999985951
400137271,1.500571429,0.446438234,0.687477655,0.709418913,0.99349121,0.961392522,1.221231094,1.632929239,0.396714511,0.611644312,0.75804725,0.883309012,0.917519391,1.228161044,1.723136342,,,400137271,1.500571429,0.446384018,0.686854543,0.707997888,0.948754627,0.870984868,0.999399077,0.999979279,0.395696627,0.609253714,0.739627013,0.814977767,0.806795002,0.998487072,0.999996049
400137271,1.571979592,0.478941952,0.598456852,0.663001267,0.788919714,0.987100586,1.184459748,1.587535452,0.459547566,0.5739994,0.729585364,0.867171798,0.982943531,1.201433564,1.80650665,,,400137271,1.571979592,0.478901945,0.596858238,0.662206872,0.787248007,0.933717242,0.999956305,0.999987495,0.459077166,0.569027415,0.709882933,0.844147944,0.909298364,0.999511293,0.999996371
400137271,1.643387755,0.421219289,0.665371168,0.848513703,0.972053321,0.971085304,1.157930738,1.731113781,0.422008925,0.617565785,0.799804537,0.943486287,1.011845144,1.296584847,1.718104063,,,400137271,1.643387755,0.421380073,0.664494032,0.847503951,0.93942711,0.911469331,0.999658036,0.999999323,0.421889406,0.613803867,0.784396496,0.881152634,0.901866251,0.999587253,0.999996393
400137271,1.714795918,0.432905489,0.664207303,0.724940459,0.938409272,1.12275196,1.167433062,1.649783884,0.443614412,0.678144091,0.658394528,0.899792569,1.085440073,1.224418902,1.737820553,,,400137271,1.714795918,0.432918764,0.66368609,0.723223789,0.932879556,0.991070859,0.979117965,0.999999324,0.44346362,0.675188573,0.611551614,0.86753764,0.993963153,0.999571514,0.999994189
400137271,1.786204082,0.45774379,0.632961831,0.733562392,0.715544708,1.080693338,1.337381879,1.754772192,0.40868261,0.61022884,0.732089452,0.917654538,1.06192289,1.279007247,1.701441286,,,400137271,1.786204082,0.457544582,0.633170131,0.733323795,0.709040106,0.990666728,0.996436816,0.999993827,0.40892653,0.608424436,0.725731238,0.873055853,0.902758457,0.999834424,0.999987935
400137271,1.857612245,0.477949798,0.695906609,0.841801255,0.948254353,1.134696752,1.349519503,1.801144401,0.440237204,0.593972244,0.844485191,0.983831984,1.112986326,1.228835791,1.839418852,,,400137271,1.857612245,0.478133925,0.696443059,0.840189809,0.92127122,0.995368002,0.999955029,0.999999323,0.440274373,0.592667322,0.837264128,0.940069224,0.985044309,0.999800903,0.999999323
400137271,1.929020408,0.461279015,0.626724473,0.783376345,1.08729591,1.135195033,1.358075799,1.859349828,0.420859696,0.585422824,0.807234072,0.867322078,1.072827743,1.279379511,1.821995902,,,400137271,1.929020408,0.460996074,0.625860524,0.782160042,0.979511478,0.976277855,0.999943966,0.999999324,0.420235168,0.579767939,0.792933476,0.82406423,0.98161622,0.999866363,0.999999322
400137271,2.000428571,0.476368756,0.629579274,0.82917325,1.022406431,1.071255664,1.52419329,1.777465157,0.462184595,0.644534733,0.763506279,0.897165767,0.999570537,1.37736101,1.715501809,,,400137271,2.000428571,0.476009929,0.62924211,0.827453935,0.980795911,0.960547277,0.998176712,0.999994919,0.462131422,0.643503424,0.756107318,0.873682602,0.897809614,0.999792548,0.999967781
400137271,2.071836735,0.417620174,0.6948949,0.798755155,1.121751973,1.189294973,1.303424425,1.883793006,0.458008121,0.583311262,0.759936309,0.915998576,1.078249545,1.297376189,1.744709989,,,400137271,2.071836735,0.417930067,0.694437151,0.799520261,0.992259013,0.973679315,0.99997622,0.999999324,0.457308802,0.582153171,0.74338825,0.899789131,0.946636043,0.999777852,0.999999324
400137271,2.143244898,0.486636895,0.686462781,0.779766882,0.989298863,1.185405203,1.477484103,1.68945361,0.461382581,0.635637277,0.749298515,0.92341832,1.106461709,1.30171626,1.803694996,,,400137271,2.143244898,0.486041657,0.686538526,0.778923624,0.985819401,0.999169779,0.999973748,0.999998398,0.460711652,0.634912006,0.720134411,0.901146393,0.999120937,0.995540823,0.999977843
400137271,2.214653061,0.457016114,0.567088856,0.807663236,0.917054727,1.085446791,1.326356285,1.742694099,0.425771674,0.611538102,0.761318995,0.99211599,1.131890282,1.362490328,1.906415168,,,400137271,2.214653061,0.457072739,0.566700136,0.806601517,0.908317262,0.999692864,0.999955568,0.999997995,0.425270426,0.610334312,0.741614806,0.971829399,0.997521401,0.99995377,0.999999324
400137271,2.286061225,0.479606302,0.687043648,0.877859135,1.031872176,1.115731823,1.472856806,1.839533615,0.477123668,0.645087226,0.792404172,1.002206662,1.139195061,1.307278093,1.801125579,,,400137271,2.286061225,0.479641908,0.686845041,0.877723376,0.95111882,0.998299058,0.999988768,0.999988853,0.477370138,0.643762618,0.789755898,0.935168722,0.995156592,0.999876784,0.999985644
400137271,2.357469388,0.477171223,0.541753439,0.705173916,0.961672977,1.258958304,1.407318282,1.865393479,0.462069153,0.596364747,0.779257844,0.948995872,1.192691836,1.196058254,1.793185208,,,400137271,2.357469388,0.477009493,0.541516068,0.705257538,0.9350369,0.998156246,0.999948517,0.999992684,0.461194761,0.595838247,0.766970062,0.915158219,0.995182362,0.999935722,0.999993165
400137271,2.428877551,0.485675777,0.728343025,0.903744613,1.049368022,1.048876855,1.527863061,2.184432148,0.45367548,0.592634564,0.870573636,0.966176179,1.220076673,1.500112314,1.84768303,,,400137271,2.428877551,0.485742981,0.728399389,0.903649026,0.972537518,0.996077546,0.999967656,0.999997184,0.453131808,0.591393675,0.868210117,0.887694445,0.999548258,0.999948501,0.999992186
400137271,2.500285714,0.49021222,0.702839808,0.776927198,0.983671706,0.989950439,1.562282759,1.533570464,0.450263228,0.686416357,0.881432613,0.967875147,1.194265372,1.404490163,1.794392016,,,400137271,2.500285714,0.490247763,0.702552963,0.776085375,0.933879686,0.975887583,0.999975722,0.999990015,0.450208658,0.686690189,0.875448474,0.961381081,0.999771908,0.999920882,0.999993754
